t, xpos, ypos
0.451000,1.070142,-0.013323
0.452000,1.072632,-0.016505
0.453000,1.075121,-0.019681
0.454000,1.077610,-0.022852
0.455000,1.080099,-0.026017
0.456000,1.082587,-0.029177
0.457000,1.085075,-0.032332
0.458000,1.087562,-0.035482
0.459000,1.090049,-0.038625
0.460000,1.092536,-0.041763
0.461000,1.095023,-0.044896
0.462000,1.097509,-0.048022
0.463000,1.099994,-0.051143
0.464000,1.102479,-0.054258
0.465000,1.104964,-0.057367
0.466000,1.107448,-0.060469
0.467000,1.109932,-0.063566
0.468000,1.112415,-0.066656
0.469000,1.114898,-0.069741
0.470000,1.117381,-0.072818
0.471000,1.119863,-0.075890
0.472000,1.122344,-0.078955
0.473000,1.124825,-0.082014
0.474000,1.127305,-0.085065
0.475000,1.129785,-0.088111
0.476000,1.132264,-0.091149
0.477000,1.134743,-0.094181
0.478000,1.137221,-0.097206
0.479000,1.139699,-0.100224
0.480000,1.142176,-0.103235
0.481000,1.144652,-0.106239
0.482000,1.147128,-0.109236
0.483000,1.149603,-0.112225
0.484000,1.152077,-0.115208
0.485000,1.154551,-0.118183
0.486000,1.157024,-0.121150
0.487000,1.159497,-0.124110
0.488000,1.161969,-0.127063
0.489000,1.164440,-0.130008
0.490000,1.166910,-0.132946
0.491000,1.169380,-0.135876
0.492000,1.171849,-0.138797
0.493000,1.174317,-0.141712
0.494000,1.176785,-0.144618
0.495000,1.179251,-0.147516
0.496000,1.181717,-0.150406
0.497000,1.184182,-0.153288
0.498000,1.186647,-0.156162
0.499000,1.189110,-0.159028
0.500000,1.191573,-0.161886
0.501000,1.194035,-0.164735
0.502000,1.196496,-0.167575
0.503000,1.198956,-0.170408
0.504000,1.201416,-0.173231
0.505000,1.203874,-0.176046
0.506000,1.206332,-0.178853
0.507000,1.208789,-0.181650
0.508000,1.211244,-0.184439
0.509000,1.213699,-0.187219
0.510000,1.216153,-0.189990
0.511000,1.218606,-0.192752
0.512000,1.221058,-0.195505
0.513000,1.223509,-0.198249
0.514000,1.225959,-0.200984
0.515000,1.228408,-0.203710
0.516000,1.230857,-0.206426
0.517000,1.233304,-0.209133
0.518000,1.235750,-0.211830
0.519000,1.238195,-0.214518
0.520000,1.240639,-0.217197
0.521000,1.243081,-0.219866
0.522000,1.245523,-0.222525
0.523000,1.247964,-0.225174
0.524000,1.250403,-0.227814
0.525000,1.252842,-0.230444
0.526000,1.255279,-0.233064
0.527000,1.257715,-0.235674
0.528000,1.260150,-0.238274
0.529000,1.262584,-0.240864
0.530000,1.265017,-0.243444
0.531000,1.267449,-0.246014
0.532000,1.269879,-0.248573
0.533000,1.272308,-0.251122
0.534000,1.274736,-0.253661
0.535000,1.277162,-0.256189
0.536000,1.279588,-0.258707
0.537000,1.282012,-0.261215
0.538000,1.284435,-0.263711
0.539000,1.286856,-0.266197
0.540000,1.289276,-0.268673
0.541000,1.291695,-0.271137
0.542000,1.294113,-0.273591
0.543000,1.296529,-0.276034
0.544000,1.298944,-0.278466
0.545000,1.301357,-0.280887
0.546000,1.303769,-0.283297
0.547000,1.306180,-0.285696
0.548000,1.308589,-0.288084
0.549000,1.310997,-0.290460
0.550000,1.313403,-0.292825
0.551000,1.315808,-0.295179
0.552000,1.318212,-0.297522
0.553000,1.320614,-0.299853
0.554000,1.323014,-0.302173
0.555000,1.325413,-0.304481
0.556000,1.327811,-0.306777
0.557000,1.330207,-0.309062
0.558000,1.332601,-0.311336
0.559000,1.334994,-0.313597
0.560000,1.337386,-0.315847
0.561000,1.339775,-0.318085
0.562000,1.342163,-0.320310
0.563000,1.344550,-0.322524
0.564000,1.346935,-0.324726
0.565000,1.349318,-0.326916
0.566000,1.351700,-0.329094
0.567000,1.354080,-0.331260
0.568000,1.356458,-0.333413
0.569000,1.358834,-0.335555
0.570000,1.361209,-0.337683
0.571000,1.363582,-0.339800
0.572000,1.365954,-0.341904
0.573000,1.368323,-0.343996
0.574000,1.370691,-0.346075
0.575000,1.373057,-0.348142
0.576000,1.375421,-0.350196
0.577000,1.377784,-0.352237
0.578000,1.380145,-0.354266
0.579000,1.382503,-0.356282
0.580000,1.384860,-0.358285
0.581000,1.387216,-0.360275
0.582000,1.389569,-0.362253
0.583000,1.391920,-0.364217
0.584000,1.394270,-0.366169
0.585000,1.396617,-0.368107
0.586000,1.398963,-0.370033
0.587000,1.401306,-0.371945
0.588000,1.403648,-0.373844
0.589000,1.405988,-0.375730
0.590000,1.408326,-0.377603
0.591000,1.410661,-0.379462
0.592000,1.412995,-0.381308
0.593000,1.415327,-0.383141
0.594000,1.417656,-0.384960
0.595000,1.419984,-0.386766
0.596000,1.422309,-0.388559
0.597000,1.424633,-0.390337
0.598000,1.426954,-0.392102
0.599000,1.429273,-0.393854
0.600000,1.431590,-0.395592
0.601000,1.433905,-0.397316
0.602000,1.436218,-0.399026
0.603000,1.438528,-0.400723
0.604000,1.440836,-0.402406
0.605000,1.443142,-0.404074
0.606000,1.445446,-0.405729
0.607000,1.447748,-0.407370
0.608000,1.450047,-0.408997
0.609000,1.452344,-0.410610
0.610000,1.454639,-0.412209
0.611000,1.456932,-0.413794
0.612000,1.459222,-0.415364
0.613000,1.461510,-0.416921
0.614000,1.463795,-0.418463
0.615000,1.466079,-0.419991
0.616000,1.468359,-0.421504
0.617000,1.470638,-0.423003
0.618000,1.472914,-0.424488
0.619000,1.475187,-0.425959
0.620000,1.477458,-0.427415
0.621000,1.479727,-0.428856
0.622000,1.481993,-0.430283
0.623000,1.484257,-0.431696
0.624000,1.486518,-0.433093
0.625000,1.488777,-0.434477
0.626000,1.491033,-0.435845
0.627000,1.493287,-0.437199
0.628000,1.495538,-0.438538
0.629000,1.497786,-0.439863
0.630000,1.500032,-0.441172
0.631000,1.502275,-0.442467
0.632000,1.504516,-0.443747
0.633000,1.506754,-0.445012
0.634000,1.508989,-0.446263
0.635000,1.511222,-0.447498
0.636000,1.513452,-0.448718
0.637000,1.515679,-0.449923
0.638000,1.517904,-0.451114
0.639000,1.520126,-0.452289
0.640000,1.522345,-0.453449
0.641000,1.524561,-0.454594
0.642000,1.526775,-0.455724
0.643000,1.528986,-0.456839
0.644000,1.531194,-0.457938
0.645000,1.533399,-0.459022
0.646000,1.535601,-0.460091
0.647000,1.537800,-0.461145
0.648000,1.539997,-0.462183
